agent,agent_type,wins,win_rate,total_profit,average_bid,efficiency,failed_bids,run,num_agents
AggressiveAgent 13,AggressiveAgent,1,0.03333333333333333,2,89.6,0.011235955056179775,3,6,20
SniperAgent 14,SniperAgent,0,0.0,0,0,0,1,6,20
AdaptiveAgent 15,AdaptiveAgent,7,0.23333333333333334,0,142.0,0.0,0,6,20
RandomAgent 16,RandomAgent,0,0.0,0,68.71428571428571,0,2,6,20
ConservativeAgent 17,ConservativeAgent,0,0.0,0,86.0,0,0,6,20
AggressiveAgent 18,AggressiveAgent,0,0.0,0,93.33333333333333,0,4,6,20
SniperAgent 19,SniperAgent,0,0.0,0,57.5,0,0,6,20
AdaptiveAgent 20,AdaptiveAgent,5,0.16666666666666666,0,133.33333333333334,0.0,0,6,20
RandomAgent 1,RandomAgent,0,0.0,0,55.0,0,9,7,20
ConservativeAgent 2,ConservativeAgent,3,0.1,0,110.57142857142857,0.0,0,7,20
AggressiveAgent 3,AggressiveAgent,1,0.03333333333333333,0,82.0,0.0,3,7,20
SniperAgent 4,SniperAgent,0,0.0,0,24.0,0,0,7,20
AdaptiveAgent 5,AdaptiveAgent,6,0.2,0,116.3529411764706,0.0,0,7,20
RandomAgent 6,RandomAgent,0,0.0,0,50.6,0,6,7,20
ConservativeAgent 7,ConservativeAgent,3,0.1,0,110.11111111111111,0.0,0,7,20
AggressiveAgent 8,AggressiveAgent,1,0.03333333333333333,0,103.0,0.0,2,7,20
SniperAgent 9,SniperAgent,0,0.0,0,34.666666666666664,0,0,7,20
AdaptiveAgent 10,AdaptiveAgent,2,0.06666666666666667,2,140.54545454545453,0.010526315789473684,0,7,20
RandomAgent 11,RandomAgent,0,0.0,0,79.125,0,7,7,20
ConservativeAgent 12,ConservativeAgent,0,0.0,0,83.52631578947368,0,0,7,20
AggressiveAgent 13,AggressiveAgent,1,0.03333333333333333,0,99.77777777777777,0.0,4,7,20
SniperAgent 14,SniperAgent,0,0.0,0,0,0,2,7,20
AdaptiveAgent 15,AdaptiveAgent,5,0.16666666666666666,0,113.78571428571429,0.0,0,7,20
RandomAgent 16,RandomAgent,0,0.0,0,46.125,0,4,7,20
ConservativeAgent 17,ConservativeAgent,1,0.03333333333333333,0,74.25,0.0,0,7,20
AggressiveAgent 18,AggressiveAgent,0,0.0,0,66.61538461538461,0,3,7,20
SniperAgent 19,SniperAgent,1,0.03333333333333333,0,109.5,0.0,1,7,20
AdaptiveAgent 20,AdaptiveAgent,6,0.2,0,125.0,0.0,0,7,20
RandomAgent 1,RandomAgent,0,0.0,0,63.666666666666664,0,4,8,20
ConservativeAgent 2,ConservativeAgent,1,0.03333333333333333,0,80.2,0.0,0,8,20
AggressiveAgent 3,AggressiveAgent,0,0.0,0,76.2,0,1,8,20
SniperAgent 4,SniperAgent,0,0.0,0,112.0,0,0,8,20
AdaptiveAgent 5,AdaptiveAgent,5,0.16666666666666666,0,135.5,0.0,0,8,20
RandomAgent 6,RandomAgent,0,0.0,0,76.875,0,3,8,20
ConservativeAgent 7,ConservativeAgent,1,0.03333333333333333,0,98.625,0.0,0,8,20
AggressiveAgent 8,AggressiveAgent,0,0.0,0,80.66666666666667,0,2,8,20
SniperAgent 9,SniperAgent,0,0.0,0,112.0,0,0,8,20
